Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1201545702892900352,@sandmanahoy @IRMaxi_SC @NGEN_Zedd @Zekiel_SC Last year's NEC happened in the week of my 30th birthday too lol.,0re0z ShenWoo next: EvoJapan2020,shane0rez,Mon Dec 02 16:56:33 +0000 2019,2,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,4
1201545827673608193,"Good day out at the BBC's Good Food Show at the NEC Friday, caught up with one of our suppliers Drury and Alldis as well as a bunch of possible new producers. https://t.co/YvdgbyzoQn",beanandgrainuk,beanandgrainuk,Mon Dec 02 16:57:03 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,https://pbs.twimg.com/media/EKy_jwKWoAcAqWM.jpg ,0,0,0
1201545909538099200,"First off i Just wanna say Ggs to the legend @SonicFox5000, man got a nasty Kollector. Also i wanna say Sorry to my Liu Kang brethren, I let y'all down😭😭😭. #CageGang? 😂 Nah but fr it was a pleasure meeting everyone at NEC and hearing @DestroyerFGC commentating😂😂😂.",BlazeOG,OGBlaze_,Mon Dec 02 16:57:23 +0000 2019,0,76,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,1,2
1201546182331383809,"First off i Just wanna say Ggs to the legend @SonicFox5000, man got a nasty Kollector. Also i wanna say Sorry to my Liu Kang brethren, I let y'all down😭😭😭. #CageGang? 😂 Nah but fr it was a pleasure meeting everyone at NEC and hearing @DestroyerFGC commentating😂😂😂.","N. Odikro Sangmortey, CA",odikronoah,Mon Dec 02 16:58:28 +0000 2019,0,76,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,1,2
1201546247238238209,"If cutting reliance on chemicals and mechanical weeding, in particular, is tickling your interest then come along to @lammashow at NEC, HALL 6, in January and see what we have to offer - all very exciting developments #profitfromourknowledge https://t.co/Zru4V533Yc",Glenn Bootman,opicocentral,Mon Dec 02 16:58:43 +0000 2019,0,3,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Video,https://video.twimg.com/ext_tw_video/1201515005646168064/pu/vid/640x352/JaiASYJZQ7eH63jp.mp4?tag=10 ,0,1,1
1201546501748604928,@Cyburrrrr This has been on my mind heavy since NEC. It makes me feel a type of way that MD doesn't have sessions like these either in SC or Tekken...or if they do I can't get to any of them and it's cheaper to go out of state in some cases.,Loyal| TiddyJTran,TJTran7,Mon Dec 02 16:59:44 +0000 2019,1,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,1
1201547480686563329,"NEC proved even further the point of how MK11 is more balanced than its given credit for

Sonic picks up Kollector and solo plays him to 2nd place in a PK Major, not before picking up Raiden and putting in mad work online against top level players

MK11 has no bad characters",Makibaz @ Home!,MakibazSSB,Mon Dec 02 17:03:37 +0000 2019,0,55,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,0
1201547499451883521,"NEC proved even further the point of how MK11 is more balanced than its given credit for

Sonic picks up Kollector and solo plays him to 2nd place in a PK Major, not before picking up Raiden and putting in mad work online against top level players

MK11 has no bad characters",Sentinel Kab,Sentinel_Kab,Mon Dec 02 17:03:42 +0000 2019,0,55,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,0,0
1201547849869254660,"NEC proved even further the point of how MK11 is more balanced than its given credit for

Sonic picks up Kollector and solo plays him to 2nd place in a PK Major, not before picking up Raiden and putting in mad work online against top level players

MK11 has no bad characters",THO | D3’ViL [Jardani🤴🏽],deeech3,Mon Dec 02 17:05:05 +0000 2019,0,55,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,0,0
1201548583335550976,@EGX EGX needs to be back at Birmingham NEC again :(,BuckShott,BuckShottGaming,Mon Dec 02 17:08:00 +0000 2019,1,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,1
1201548894242557952,"I hope you guys enjoyed NEC as much as I did! Wonderful experience and wonderful Mortal Kombat!

Next stop LCQ and Finals!

#ProKompetition",Josh Carvin,Josh_Carvin,Mon Dec 02 17:09:14 +0000 2019,0,18,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,1,0
1201549161767882752,@tyengeni1954 @KhandaniM Go ask your NEC members.,TAU TONA JUDAH 🦍🦁🗿,Afrikangenesis,Mon Dec 02 17:10:18 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,2
1201549304382578688,"@towertalk @trishgreenhalgh @MattHancock And aside from Qs of priority - is there a plan for the advice &amp; support people will need with handling the info, or the fallout from the rational reaction of the insurance/actuarial industries? Not nec reasons not to proceed, but it's not uncomplicated or unalloyed good.",Rachel Cooper,mrachelcooper,Mon Dec 02 17:10:52 +0000 2019,2,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,3
1201549350415011841,"After a long break, we're back! What better way to burst back onto the scene than with our Trainee Careers Adviser, Sam Jones, who was showing off her hairdressing skills at the NEC World Skills UK event a couple of weeks ago! #WSUKLIVE https://t.co/jfmrdDHpgi",Holyhead CEIAG,CEIAG_Holyhead,Mon Dec 02 17:11:03 +0000 2019,2,1,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,https://pbs.twimg.com/media/EKzCwkkWsAczWTg.jpg ,0,1,0
1201550465672110082,"@LorettaNYR @strome18 @4EverBlueshirts Doesn't seem like most of the knocks are on him personally, just that many would rather see a youngen playing in his spot vs a guy who isn't nec part of the future. Subtle difference",Marc Weissman,mgweissman,Mon Dec 02 17:15:29 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,3
1201551277781585921,"Complete activities for your chance to win a Nintendo Switch! You could also win a $20 digital gift card from a top national brand of your choice. No Purch. Nec. Ends 3/31/20. 18+, US only, Rules:",Robyn Leigh,RobynSweeps,Mon Dec 02 17:18:43 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,0,0
1201551526470324224,I would like to congratulate our Chair- Mrs Kaltuun for received #award from the president of Somaliland Mr Muse Bihih as she worked -Somaliland national electoral commission NEC. Well  done @Sihanet @Halayalkarib @MarthaTukahirwa. https://t.co/fFXfFiCKGw,Nuradin Sh.Mohamed,3_nuuradiin,Mon Dec 02 17:19:42 +0000 2019,4,2,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/EKzEvqTXYAAKuVW.jpg ,0,1,3
1201552021892943878,@steveken The NEC subsidizes the rest of their footprint. Get outside of the DC-Boston corridor and ticket prices are markedly cheaper.,Bonnie Smalley,Bonniezilla,Mon Dec 02 17:21:40 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,1
