Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1198940667520655366,Want to know how #CumulusNetQ can improve your data center operations? Here is a video that will tell you all you need to know: https://t.co/hHOIInzJIp,Sol Distribution,sol_disti,Mon Nov 25 12:25:05 +0000 2019,0,0,English,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,,,1,1,0
1199062503805861891,Prevent lateral compromise with microsegmentation https://t.co/Vr8kQr285o,Todd Pigram,pigram86,Mon Nov 25 20:29:13 +0000 2019,0,0,English,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Tweet,,,1,0,0
1199075298647707648,My boy @jbetzccie made a baller guide on building campus networks with @CumulusNetworks https://t.co/1UgSQf2x87 https://t.co/ToxmEpiu5x,Pete Lumbis,PeteCCDE,Mon Nov 25 21:20:03 +0000 2019,4,0,English,"<a href=""https://www.oktopost.com"" rel=""nofollow"">Oktopost</a>",Tweet,Photo,https://pbs.twimg.com/media/EKP4oD4XYAEvn5D.jpg ,1,0,2
1199278472495063041,"Before we break for the first networking session, we have Neil Simonsen from Cumulus Networks.

Neil is detailing what constitutes open networking and why everyone in the public sector should care 

@CumulusNetworks 
#wmpseict",Whitehall Media,WhitehallMedia,Tue Nov 26 10:47:24 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,0,1,1
1199280215333228545,"Cumulus Networks is rightly regarded as a leading actor within the open data movement and is leading the way towards the reshaping of organisational data centres.

@CumulusNetworks 
#wmpseict",Whitehall Media,WhitehallMedia,Tue Nov 26 10:54:19 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,0,1,1
1199281870837559297,"@ioshints ""you better do that with an implementation that was adapted to the new use of BGP, not decades-old code base that needs a gazillion of tweaks and just the right values of nerd knobs to make it work"" @CumulusNetworks
https://t.co/aQLr8KW0Zw",IP networks,rtaccon,Tue Nov 26 11:00:54 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,1,0,2
1199282180607873025,"@ioshints @CumulusNetworks ""After configuring an interface neighbor, the router tries to figure out the neighbor’s IP address. That’s easy to do for IPv6 (use link-local addresses) and for interfaces with /30 or /31 IPv4 subnets.. but Cumulus Linux allows you to run BGP (IBGP or EBGP) over unnumbered inte""",IP networks,rtaccon,Tue Nov 26 11:02:08 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,2
1199294340998324225,"The the fun begin 

@DellTech @DellEMCHealth @VMware @Microsoft @Windows @Shirastweet @SHI_UK1 @RG_System @LORCACyber @CumulusNetworks @Brocade @lifttraining @Alienware 

#sustainability #voiceofcustomer #DellTechForum #DellTech #socialimpact #B2B #entreprise #Influencer https://t.co/YAAKlgYLfk",João Bocas - The Wearables Expert ™ #TrustInTech,WearablesExpert,Tue Nov 26 11:50:27 +0000 2019,2,2,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Video,https://video.twimg.com/ext_tw_video/1199294305606782976/pu/vid/640x360/4gUFH0nhZFIcxj7Z.mp4?tag=10 ,0,8,13
1199311721321639936,"The the fun begin 

@DellTech @DellEMCHealth @VMware @Microsoft @Windows @Shirastweet @SHI_UK1 @RG_System @LORCACyber @CumulusNetworks @Brocade @lifttraining @Alienware 

#sustainability #voiceofcustomer #DellTechForum #DellTech #socialimpact #B2B #entreprise #Influencer https://t.co/YAAKlgYLfk",RG System,RG_System,Tue Nov 26 12:59:31 +0000 2019,0,2,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Video,https://video.twimg.com/ext_tw_video/1199294305606782976/pu/vid/640x360/4gUFH0nhZFIcxj7Z.mp4?tag=10 ,0,8,13
1199311928461537280,"The the fun begin 

@DellTech @DellEMCHealth @VMware @Microsoft @Windows @Shirastweet @SHI_UK1 @RG_System @LORCACyber @CumulusNetworks @Brocade @lifttraining @Alienware 

#sustainability #voiceofcustomer #DellTechForum #DellTech #socialimpact #B2B #entreprise #Influencer https://t.co/YAAKlgYLfk",RG System NA,RG_System_NA,Tue Nov 26 13:00:20 +0000 2019,0,2,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Video,https://video.twimg.com/ext_tw_video/1199294305606782976/pu/vid/640x360/4gUFH0nhZFIcxj7Z.mp4?tag=10 ,0,8,13
1199403709010251779,Not quite sure about #CumulusLinux? Try it for free with #CumulusVX! Build sandboxes and prototype network operations before you commit— follow the link to start now.  https://t.co/9PpSkU0DcS #OpenNetworking https://t.co/s7heozr77D,Thinkers360,thinkers360,Tue Nov 26 19:05:02 +0000 2019,0,1,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EKUfpzXXsAE5zCq.jpg ,1,3,0
1199464872120967168,Have a little down time this week? Start your journey to becoming CCONP certified! Get 15% off our #LinuxNetworking series and learn the fundamental concepts and commands behind #Linux-based #OpenNetworking. https://t.co/jsG8Z8qKXS https://t.co/2jBEjbUF4O,LinuxBot,LlnuxBot,Tue Nov 26 23:08:05 +0000 2019,0,2,English,"<a href=""https://techdox.nz"" rel=""nofollow"">LinuxBot2.0</a>",Retweet,Photo,https://pbs.twimg.com/media/EKVa7i6WkAA53MI.jpg ,1,3,0
1199467035794837504,Have a little down time this week? Start your journey to becoming CCONP certified! Get 15% off our #LinuxNetworking series and learn the fundamental concepts and commands behind #Linux-based #OpenNetworking. https://t.co/jsG8Z8qKXS https://t.co/2jBEjbUF4O,LinuxDreams,LinuxDreams,Tue Nov 26 23:16:41 +0000 2019,0,2,English,"<a href=""https://avcourt.github.io/tiny-cluster"" rel=""nofollow"">dd-bot</a>",Retweet,Photo,https://pbs.twimg.com/media/EKVa7i6WkAA53MI.jpg ,1,3,0
1199597128600842240,@CumulusNetworks Try Cloud Native Data-centre Networking.,Ganu,skgrao,Wed Nov 27 07:53:37 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,1
1199825698258448385,"From now until Sunday night, take advantage of the @Uber code ABQTURKEY19 for $10 off a ride in the #Burque metro. Thanks to @BernCounty @ENDWI_NM #AdmiralBeverage @CumulusNetworks and @RonBellLawyers for helping to keep us safe this #Turkey Holiday! @cabq https://t.co/ouAfgxAsg8",Ben J. Lewinger,BenevolentLew,Wed Nov 27 23:01:52 +0000 2019,6,3,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,1,3,6
1199839708097867776,"From now until Sunday night, take advantage of the @Uber code ABQTURKEY19 for $10 off a ride in the #Burque metro. Thanks to @BernCounty @ENDWI_NM #AdmiralBeverage @CumulusNetworks and @RonBellLawyers for helping to keep us safe this #Turkey Holiday! @cabq https://t.co/ouAfgxAsg8",Patty Keane,PKeaneRD,Wed Nov 27 23:57:33 +0000 2019,0,3,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,1,3,6
1199847001292034048,"Why are YOU thankful for #OpenNetworking? For a chance to win November's #BeEpic game, follow the link to submit your answer. We're also sharing everyone's responses throughout the month—next up, Justin Betz: https://t.co/VGIqGahdia #Thankful https://t.co/GBsYKFm41h",Open Infrastructure Australia,OpenInfraAU,Thu Nov 28 00:26:31 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Video,https://video.twimg.com/ext_tw_video/1199799562443075586/pu/vid/640x360/ADoqeEot_E1Bu7-t.mp4?tag=10 ,1,3,0
1199863497087234048,"#CumulusNetworks Enhances #Linux Based Network Operating System
https://t.co/iuUoqkHdHO",Dr. Roy Schestowitz (罗伊),schestowitz,Thu Nov 28 01:32:04 +0000 2019,0,1,English,"<a href=""https://joindiaspora.com"" rel=""nofollow"">JoinDiaspora</a>",Tweet,,,1,2,0
1199863795817959424,"#CumulusNetworks Enhances #Linux Based Network Operating System
https://t.co/iuUoqkHdHO",LinuxBot,LlnuxBot,Thu Nov 28 01:33:15 +0000 2019,0,1,English,"<a href=""https://techdox.nz"" rel=""nofollow"">LinuxBot2.0</a>",Retweet,,,1,2,0
1199889592104542210,"From now until Sunday night, take advantage of the @Uber code ABQTURKEY19 for $10 off a ride in the #Burque metro. Thanks to @BernCounty @ENDWI_NM #AdmiralBeverage @CumulusNetworks and @RonBellLawyers for helping to keep us safe this #Turkey Holiday! @cabq https://t.co/ouAfgxAsg8",Marti Reed,homegypsy,Thu Nov 28 03:15:46 +0000 2019,0,3,English,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",Retweet,,,1,3,6
1200075752600829952,"From now until Sunday night, take advantage of the @Uber code ABQTURKEY19 for $10 off a ride in the #Burque metro. Thanks to @BernCounty @ENDWI_NM #AdmiralBeverage @CumulusNetworks and @RonBellLawyers for helping to keep us safe this #Turkey Holiday! @cabq https://t.co/ouAfgxAsg8",Erin Muffoletto,erinmuffoletto,Thu Nov 28 15:35:30 +0000 2019,0,3,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,1,3,6
1200075844959391752,@BenevolentLew @Uber @BernCounty @ENDWI_NM @CumulusNetworks @RonBellLawyers @cabq Great segment yesterday! 👍🏼,Erin Muffoletto,erinmuffoletto,Thu Nov 28 15:35:52 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,7
1200590782929022976,"Given the marketplace, why did we launch our own #CumulusCert? Because what’s out there doesn’t address open, standard Linux-based switching &amp; infrastructure networking. Learn how we've addressed that need via @packetpushers here. https://t.co/Hualli5qWo #LinuxCertification https://t.co/fDuine2RJA",Thinkers360,thinkers360,Sat Nov 30 01:42:03 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKjyH8HXkAAU0lh.jpg ,1,2,1
1200650190681726976,"As a result of nearly 10 years of focused development, Cumulus Linux 4.0 is the most reliable, robust &amp; performant version ever. Watch this video to learn more from our President &amp; Chief Product Officer, Partho Mishra. https://t.co/iQRl4K8G5n? #OpenNetworking",Thinkers360,thinkers360,Sat Nov 30 05:38:07 +0000 2019,0,2,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,1,1,0
1200650229344882688,"Is #OpenNetworking the new norm? According to new research by Researchscape, 70% of companies surveyed are using open networking solutions in their data centers. Follow the link to download the full results: https://t.co/1nFSXw5JtB #DataCenterNetworking #DataCenter https://t.co/GzOQh97Arv",Thinkers360,thinkers360,Sat Nov 30 05:38:16 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKeZbqTX0AASPGe.jpg ,1,3,0
1201270798121668609,"""Obi Wan Kenobi × Luke Skywalker Action"".@Mathieu_Era and @Juan_Thornhill....@starwars
#ChiefsKingdom #Pick6 @mitchholthus @KCChiefsRadio @101theFoxKC @knssradio @CumulusNetworks",MarloMadison,MarloMadison10,Sun Dec 01 22:44:11 +0000 2019,15,3,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,0,2,8
1201272191318405121,"""Obi Wan Kenobi × Luke Skywalker Action"".@Mathieu_Era and @Juan_Thornhill....@starwars
#ChiefsKingdom #Pick6 @mitchholthus @KCChiefsRadio @101theFoxKC @knssradio @CumulusNetworks",Mitch Holthus,mitchholthus,Sun Dec 01 22:49:43 +0000 2019,0,3,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,2,8
1201272340971237379,"""Obi Wan Kenobi × Luke Skywalker Action"".@Mathieu_Era and @Juan_Thornhill....@starwars
#ChiefsKingdom #Pick6 @mitchholthus @KCChiefsRadio @101theFoxKC @knssradio @CumulusNetworks",SpyderMama,SpyderMama1,Sun Dec 01 22:50:19 +0000 2019,0,3,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,,0,2,8
1201272479689453570,"""Obi Wan Kenobi × Luke Skywalker Action"".@Mathieu_Era and @Juan_Thornhill....@starwars
#ChiefsKingdom #Pick6 @mitchholthus @KCChiefsRadio @101theFoxKC @knssradio @CumulusNetworks",Jeff,Jeffywood,Sun Dec 01 22:50:52 +0000 2019,0,3,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,2,8
1201476125769306112,Gartner cuts through the hype around software-defined solutions &amp; gets straight to the best practices for opening &amp; unifying wired &amp;WLAN campus networks. Download the report here from our partners at Cumulus Networks: https://t.co/1TJGGeHXKr #Gartner #CampusNetworking https://t.co/q1bOLankA6,Sol Distribution,sol_disti,Mon Dec 02 12:20:05 +0000 2019,0,0,English,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,Photo,https://pbs.twimg.com/media/EKyAK0DWoAIbJFx.jpg ,1,2,0
1201679405237583873,"Monash University wanted high-performance computing, out-of-band management &amp; private cloud and Cumulus Networks delivered. Read how we partnered with Mellanox &amp; OpenStack to deliver here. https://t.co/rSVn7NiXQR #CumulusCustomers #CumulusResources https://t.co/1aZDdiOnAR",Thinkers360,thinkers360,Tue Dec 03 01:47:50 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKz0MrUWkAEjToo.jpg ,1,2,0
