Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1199277368902332416,"With @DellEMC PowerEdge servers powered by @AMDServer #EPYC processors, Nikhef uses incredible computing power to research the secrets of the universe.",Jorge Ortiz,DestroyerFather,Tue Nov 26 10:43:00 +0000 2019,0,18,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,1,2
1199277713770647552,"@DellEMC Still waiting for the Top People to talk to, how long does a customer have to wait????",Robert,MrMacDonald7,Tue Nov 26 10:44:23 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,1
1199308666215661568,@DellEMC So useful,Panda,Panda89598731,Tue Nov 26 12:47:22 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,1
1199325535547072512,"With @DellEMC PowerEdge servers powered by @AMDServer #EPYC processors, Nikhef uses incredible computing power to research the secrets of the universe.",Kevin,carl_atm,Tue Nov 26 13:54:24 +0000 2019,0,18,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,1,2
1199325989651615744,"What would be your choice on below #HyperConverged Infra products ???

#NetAppHCI #Nutanix #Cisco #Hyperflex #Nutanix @nutanix #DellEMC 
@Cisco @VxRail @DellEMC @NetApp @NetAppAPAC #Hitachi @VMware @emc",தமிழரசன் - விவசாயின் மகன் (சோழநாடு),TTPThamizhan,Tue Nov 26 13:56:12 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,0,8,8
1199339326858940421,"Honored to be presenter today at Dell Bangalore site at the ""Women Who Code"" event.  Lots of sharing and insightful questions.

#iworkfordell #poweredge #dellemc #womenwhocode https://t.co/xK3tnsTY95",Armando Acosta,Armando75,Tue Nov 26 14:49:12 +0000 2019,0,5,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EKSOHl8XsAACVHt.jpg ,0,4,0
1199339349612978179,"Honored to be presenter today at Dell Bangalore site at the ""Women Who Code"" event.  Lots of sharing and insightful questions.

#iworkfordell #poweredge #dellemc #womenwhocode https://t.co/xK3tnsTY95",FemTech_🖥👩🏽‍💻,femtech_,Tue Nov 26 14:49:18 +0000 2019,0,5,English,"<a href=""https://rike.dev"" rel=""nofollow"">friendly fem tech bot</a>",Retweet,Photo,https://pbs.twimg.com/media/EKSOHl8XsAACVHt.jpg ,0,4,0
1199351681252839426,"Why are we winning @MichaelDell @DellTech @DellEMC 

#N1 in storage
#N1 in Cloud

Winning :

- amazing 😉 tech 
- Invest heavily in R&amp;D
- Scale ( 3xUKI sellers ) @AongusatDell credit 
( from Rob Tomlin )

#DellTechForum https://t.co/vg9pURWkMI",João Bocas - The Wearables Expert ™ #TrustInTech,WearablesExpert,Tue Nov 26 15:38:18 +0000 2019,2,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,https://pbs.twimg.com/media/EKTz_mqXsAAhBqc.jpg ,0,3,4
1199355034191970304,"Not a silent disco but... VMware cloud on Dell EMC 

#DellTechForum #dellemc #VMware https://t.co/nkSuN2tloT",Stephen,Stephen55814114,Tue Nov 26 15:51:37 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/EKT3CjfX0AANX4u.jpg ,0,3,0
1199360797731885056,"#Nashville #Technology #DellNashville  RT @Stephen55814114: Not a silent disco but... VMware cloud on Dell EMC 

#DellTechForum #dellemc #VMware https://t.co/WtraXtAKRh",BowmanDatacenter,BowmanDatacent1,Tue Nov 26 16:14:31 +0000 2019,0,0,English,"<a href=""http://nowebsite.xxx"" rel=""nofollow"">Re-tweeterbot</a>",Tweet,Photo,https://pbs.twimg.com/media/EKT3CjfX0AANX4u.jpg ,0,6,1
