Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1201695898285363202,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,seren,ihaatemyliife,Tue Dec 03 02:53:23 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
1201695931843792896,"Huawei Nova 6 will come in 8GB/256GB memory configuration as well.
#huawei #honor #HonorV30 #huaweinova6 #huaweienjoy10s",Mukul Sharma,stufflistings,Tue Dec 03 02:53:31 +0000 2019,35,2,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,0,5,0
1201695962269241344,"Huawei code that's trending now: 985, 996, 035, 251, 404.
Hire people from 985 universities.
Make them work 996.
Fire them at age 35.
Sue ex-employee for getting the compensation they are entitled to. Li Hongyuan was detained for 251 days.
Censor all social media discussions.",SHERRY.C,sherry_kokoro,Tue Dec 03 02:53:38 +0000 2019,0,289,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,0
1201695975208820736,"@Nuttallreports @YuriStoyanov @globeandmail No!  We should swap #JustinTrudeau for two Michaels! 
Send Meng to US!   
Boycott #Huawei
Boycott #China 
boycott #Beijing2022",Cc123😷,Cc12349565153,Tue Dec 03 02:53:41 +0000 2019,1,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,4,3
1201696037238386688,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,jean carlos herrera,jeancar71065168,Tue Dec 03 02:53:56 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
1201696041851994112,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,Arun Prasad,arunprasad031,Tue Dec 03 02:53:57 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
1201696056771104773,#Trade #war fallout lands on US electronics makers: @Huawei’s newest phone has zero US parts. Econ 101 strikes again.,Chogunwook,chogunwook,Tue Dec 03 02:54:01 +0000 2019,0,3,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,1
1201696069433737216,@oySaexE5eEDTXlL @Huawei Xinnie the Pooh sent a bot after me? I’m honoured! #FreeHongKong #FightForFreedom #tiananmensquaremassacre1989 #chinazi #ChinaKillingMuslim #BoycottChina #China,P-Bear,Gingervitis90,Tue Dec 03 02:54:04 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,7,2
1201696172471193606,"Huawei Deputy Chairman Ken Hu, and his brand new 5G foldable phone...I don't usually do plugs, but it's v cool #FTETNO https://t.co/94ohQU3ggp",Carlos Enrique,Sinmantul,Tue Dec 03 02:54:28 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EKxqAvkXsAAGmSI.jpg ,0,1,0
1201696226464288768,Huawei heiress writes from Canada to thank her supporters. Gets trolled by Chinese netizens angry at HUAWEI for pressing charges on a former employee who sought severance pay. https://t.co/rvXHR08Bgo,5demandsnot1less😷,vvvickie1,Tue Dec 03 02:54:41 +0000 2019,0,110,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKxDITRUUAAIp1W.jpg https://pbs.twimg.com/media/EKxDITTU8AEmYOk.jpg https://pbs.twimg.com/media/EKxDIUkUUAAtUEy.jpg ,0,0,0
1201696266020888578,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,سمية,rsosjn1,Tue Dec 03 02:54:50 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
1201696299852058624,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,even a stopped clock is right twice a day,1BordesleyGreen,Tue Dec 03 02:54:58 +0000 2019,0,1647,English,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,,,0,2,0
1201696298119974914,"It could have been me. It could have been you. It could have been any of us.                                      
                                   ------ Spotlight
#huawei",TalTex,TexTelsnow,Tue Dec 03 02:54:58 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,0,1,0
1201696305103327232,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,소떡소떡,9JyTA8FX3opYeTA,Tue Dec 03 02:55:00 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
1201696369460813824,@Huawei China is a Thug Nation. And Huawei is one of the State's tools.,Darren McDermott,worldcanuck,Tue Dec 03 02:55:15 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,1
1201696393754107905,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,Omkar,Omkar42152654,Tue Dec 03 02:55:21 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
1201696468286857216,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,A-tomzaa79,aunyarut2532,Tue Dec 03 02:55:39 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
1201696510208954368,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,Sai,Sai08289377,Tue Dec 03 02:55:49 +0000 2019,0,1647,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,,0,2,0
1201696551459934208,"Huawei Nova 6 will come in 8GB/256GB memory configuration as well.
#huawei #honor #HonorV30 #huaweinova6 #huaweienjoy10s",Gadget 24,gadget_024,Tue Dec 03 02:55:58 +0000 2019,0,2,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,5,0
1201696566437920773,Still looking to buy a huawei p30 pro btw,tamy @ 東方神起 『XV』 D-46,jypejjp,Tue Dec 03 02:56:02 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,0,0
1201696729944535040,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,Mpanju_Malcolm,alex_aku,Tue Dec 03 02:56:41 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
1201696749624016896,The detainment of #Huawei CFO #MengWanzhou is an unlawful and illegal act. Why? Read this insightful account of events to help you make up your mind.,嘉明,j5ySsw5u0JBWtPn,Tue Dec 03 02:56:46 +0000 2019,0,1647,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
