Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1.20E+18,@Twitttimi Who says I use vmware?,Nev,Nev73268999,Sun Dec 01 18:24:56 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,1
1.20E+18,"Custom Malware is rising. Specialization is trending in cyber crime| VMware Carbon Black 
#Infosec #CyberSecurity #CyberAttack #Hacking #Privacy #Threat #Malware #Ransomware #Cyberwarning #Phishing #SpyWare
#Tech #Technology #Tech_1k @CioAmaro https://t.co/nmcMZaUghf",Joydeep Mookerjee,JoydeepMookerje,Sun Dec 01 18:35:10 +0000 2019,0,14,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EKp1ZAaXUAA7D9Y.jpg ,0,14,1
1.20E+18,"@VMware This is what the inside of the #Enigma machine looks like. https://t.co/KpiV9mCVpK
🎥 #video via @Seeker 
#Tech #History #Future #Encryption #Security #cybersecurity #InfoSec 
TY,  @StephaneNappo, #CISO",Nihal Ert,nihalertugrul,Sun Dec 01 18:53:45 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,Video,https://video.twimg.com/amplify_video/1067934712683851777/pl/AHM6zt5L1NaYpFMx.m3u8?tag=8 ,0,10,3
1.20E+18,Back in Vegas. Thanks @VMware for giving us the opportunies to do actions like this. #lovemyjob #take1 #GOVMware #reInvent2019 https://t.co/nnNQaEUoTH,Jens Haschke,Jay_Jay_HH,Sun Dec 01 19:08:24 +0000 2019,30,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,https://pbs.twimg.com/media/EKuUCEuVAAA1EDY.jpg ,0,4,1
1.20E+18,Don't forget to pass by to meet #vmware experts in hall 4! #digitaltransformations #vmware_me #Cairo #InformationTechnology #VCF #cloudhealth #WorkspaceONE #vSAN #HCI #vmwarecairoict https://t.co/KsrO5j8IqD,ezzeldin Hussein,ezzeldinhussein,Sun Dec 01 19:14:30 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,https://pbs.twimg.com/media/EKuVTVZW4AEYSWv.jpg https://pbs.twimg.com/media/EKuVTVZWoAAX0u5.jpg https://pbs.twimg.com/media/EKuVTVcW4AIVv37.jpg https://pbs.twimg.com/media/EKuVTVZWwAIE7VM.jpg ,0,11,0
1.20E+18,@CrafterPika that’s even more complicated lol i’ve seen a video on youtube now i’m reading about it i just lol i don’t get why we have to go into our bios i dint want to do that don’t want anything happening to my computer and all my stuff i have i wish VMware worked 😩😩,.,domlast425,Sun Dec 01 19:21:51 +0000 2019,0,0,English,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Reply,,,0,0,1
1.20E+18,Everything works on vmware workstations 🥰🤩 https://t.co/XWeh6ntEI8,✰ᴊᴀᴛɪɴᴅᴇʀ_ᴄʜᴇᴇᴍᴀ✰,Jcheema468,Sun Dec 01 20:11:44 +0000 2019,15,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,https://pbs.twimg.com/media/EKuihavUYAArJad.jpg ,0,0,0
1.20E+18,@VMware @vmwarecode And you can chat with @alanrenouf @LucD22 and @kmruddy.  What are you waiting for?!  If you are at AWS #reInvent @ericnipro can blow your mind with his physical hardware lessons and expertise.,Jonathan Pierce @ #reinvent,j23evan,Sun Dec 01 20:13:19 +0000 2019,5,3,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,1,6
1.20E+18,"@trav_downs I use ~ and symlink in some Windows folders like Downloads so I can easily copy things out. But I had to throw out WSL for Hyper-V (and soon VMWare bc networking) because file operations (git, dep, yarn) are so slow and WSL 2 hasn't arrived.",Phil Eaton,phil_eaton,Sun Dec 01 20:29:24 +0000 2019,1,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,1
1.20E+18,Anybody using VMware workstation here,20 Pesewas,DjStiXgh,Sun Dec 01 20:38:51 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,0,0
