Company,% Overlap,Type,Listed,Company Age,HQ Location,# Employees,Revenue (B)
Juniper Networks,27,Public,NASDAQ,23,California,9283,4.6
Hewlett Packard Enterprise,19,Public,NYSE,4,California,60000,30.85
Huawei,17,Limited,None,32,Shenzhen,190000,105.1
Arista Networks,15,Public,NYSE,15,California,2300,2.1
VMWare,10,Public,NYSE,21,California,24200,8.97
D-Link,8,Public,TWSE,33,Taipei,2722,26.6
Extreme Networks,4,Public,NASDAQ,23,California,2713,0.98
Big Switch Networks,3,Private,None,10,California,500,Unknown
Cumulus Networks,3,Private,None,10,California,3646,Unknown
Dell EMC,3,Public,NYSE,40,Massachusetts,157000,21.9
Lenovo,2,Public,SEHK,35,Beijing,54000,51
Mellanox Technologies,2,Public,NASDAQ,20,California,2900,0.86
NETGEAR,2,Public,NASDAQ,23,California,1008,1.41
Allied Telesis,1,Public,TYO,32,Tokyo,1621,0.262
H3C,1,Public,NASDAQ,40,Massachusetts,12000,1.3
NEC,1,Public,TYO,120,Tokyo,109390,26.6
Pluribus Networks,1,Private,None,10,California,61,Unknown
ZTE,1,Public,SZSE,34,Shenzhen,74773,12.16
